1, 65.43
2, 71.1
3, 76.3
4, 79.49
5, 77.88
6, 76.59
7, 83.07
8, 83.71
9, 84
10, 85.29
11, 85.34
12, 83.16
13, 81.13
14, 87.17
15, 86.43
16, 83.79
17, 81.94
18, 84.99
19, 85.72
20, 86.25
21, 86.09
22, 85.68
23, 87.3
24, 87.81
25, 80.16
26, 84.15
27, 86.83
28, 87.14
29, 86.33
30, 84.92
31, 88.52
32, 85.57
33, 88.71
34, 87.99
35, 85.07
36, 86.59
37, 87.94
38, 88.37
39, 86.22
40, 86.2
41, 85.42
42, 87.77
43, 87.65
44, 88.82
45, 88.5
46, 88.31
47, 85.95
48, 87.97
49, 87.55
50, 89.39
51, 87.56
52, 89.53
53, 88.13
54, 89.39
55, 89.26
56, 88.63
57, 88.57
58, 89.47
59, 89.57
60, 88.87
61, 89.11
62, 88.89
63, 89.58
64, 88.36
65, 82.17
66, 88.84
67, 89.87
68, 90.31
69, 88.71
70, 88.87
71, 89.74
72, 89.71
73, 89.85
74, 90.3
75, 89.77
76, 88.88
77, 90.38
78, 89.4
79, 89.07
80, 89.29
81, 89.87
82, 88.56
83, 90.14
84, 91.08
85, 90.57
86, 90.24
87, 90.69
88, 87.87
89, 90.76
90, 90.81
91, 90.02
92, 89.91
93, 88.97
94, 87.12
95, 89.24
96, 89.8
97, 89.42
98, 90.31
99, 89.52
100, 88.73
101, 88.99
102, 90.18
103, 89.38
104, 90.16
105, 90.71
106, 91.12
107, 89.67
108, 88.79
109, 91.33
110, 91.01
111, 91.7
112, 90.77
113, 87.49
114, 91.16
115, 90.33
116, 90.94
117, 91.25
118, 88.8
119, 91.55
120, 91.28
121, 90.8
122, 91.28
123, 91.14
124, 90.59
125, 89.81
