SGD, 1, 1, 5, 5, 5, 5, 1, 1, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 1, 67.5
100, SGD, 3, 3, 9, 9, 1, 1, 1, 1, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 5, 20.44
100, SGD, 3, 3, 9, 9, 1, 1, 1, 1, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 6, 19.2
100, SGD, 3, 3, 9, 9, 1, 1, 1, 1, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 7, 29.86
100, SGD, 3, 3, 9, 9, 1, 1, 1, 1, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 8, 19.36
100, SGD, 3, 3, 9, 9, 1, 1, 1, 1, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 9, 19.33
100, SGD, 3, 3, 9, 9, 1, 1, 1, 1, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 10, 20.14
400, SGD, 3, 3, 1, 1, 1, 1, 3, 3, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 1, 21.48
400, SGD, 3, 3, 1, 1, 1, 1, 3, 3, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 2, 21.63
400, SGD, 3, 3, 1, 1, 1, 1, 3, 3, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 3, 21.12
400, SGD, 3, 3, 1, 1, 1, 1, 3, 3, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 4, 21.15
400, SGD, 3, 3, 1, 1, 1, 1, 3, 3, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 5, 21.05
400, SGD, 3, 3, 1, 1, 1, 1, 3, 3, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 6, 24.83
400, SGD, 3, 3, 1, 1, 1, 1, 3, 3, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 7, 24.08
400, SGD, 3, 3, 1, 1, 1, 1, 3, 3, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 8, 24.97
400, SGD, 3, 3, 1, 1, 1, 1, 3, 3, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 9, 18.99
100, SGD, 1, 1, 5, 5, 4, 4, 2, 2, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 1, 72.04
100, SGD, 1, 1, 5, 5, 4, 4, 2, 2, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 2, 77.98
100, SGD, 1, 1, 5, 5, 4, 4, 2, 2, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 3, 76.89
100, SGD, 1, 1, 5, 5, 4, 4, 2, 2, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 4, 80.34
100, SGD, 1, 1, 5, 5, 4, 4, 2, 2, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 5, 78.83
100, SGD, 1, 1, 5, 5, 4, 4, 2, 2, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 6, 79.47
100, SGD, 1, 1, 5, 5, 4, 4, 2, 2, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 7, 82.5
100, SGD, 1, 1, 5, 5, 4, 4, 2, 2, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 8, 81.06
100, SGD, 1, 1, 5, 5, 4, 4, 2, 2, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 9, 78.4
100, SGD, 1, 1, 5, 5, 4, 4, 2, 2, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 10, 84.32
100, SGD, 1, 1, 9, 9, 4, 4, 2, 2, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 1, 29.25
100, SGD, 1, 1, 9, 9, 4, 4, 2, 2, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 2, 29.68
100, SGD, 1, 1, 9, 9, 4, 4, 2, 2, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 3, 22.54
100, SGD, 1, 1, 9, 9, 4, 4, 2, 2, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 4, 23.97
100, SGD, 1, 1, 9, 9, 4, 4, 2, 2, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 5, 22.4
100, SGD, 1, 1, 9, 9, 4, 4, 2, 2, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 6, 20.72
100, SGD, 1, 1, 9, 9, 4, 4, 2, 2, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 7, 27.24
100, SGD, 1, 1, 9, 9, 4, 4, 2, 2, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 8, 23.09
100, SGD, 1, 1, 9, 9, 4, 4, 2, 2, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 9, 17.45
100, SGD, 1, 1, 9, 9, 4, 4, 2, 2, 128, 128, 128, 128, 0.3, 0.4, 12.5, 12.5, 32, 10, 27.34
