SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.35, 0.35, 0.35,0.35, 12.5, 12.5, 2, 2, 1, 125, 0, 1, 0, 1, 79.63
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.35, 0.35, 0.35,0.35, 12.5, 12.5, 2, 2, 1, 125, 0, 1, 0, 2, 86.24
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.3425, 0.3425, 0.3425,0.3425, 12.5, 12.5, 2, 2, 1, 125, 0, 1, 0, 3, 87.58
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.335, 0.335, 0.335,0.335, 12.5, 12.5, 2, 2, 1, 125, 0, 1, 0, 4, 89.45
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.3275, 0.3275, 0.3275,0.3275, 12.5, 12.5, 2, 2, 1, 125, 0, 1, 0, 5, 89.96
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.32, 0.32, 0.32,0.32, 12.5, 12.5, 2, 2, 1, 125, 0, 1, 0, 6, 89.77
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.3125, 0.3125, 0.3125,0.3125, 12.5, 12.5, 2, 2, 1, 125, 0, 1, 0, 7, 90.89
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.305, 0.305, 0.305,0.305, 12.5, 12.5, 2, 2, 1, 125, 0, 1, 0, 8, 90.49
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2975, 0.2975, 0.2975,0.2975, 12.5, 12.5, 2, 2, 1, 125, 0, 1, 0, 9, 91.64
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.29, 0.29, 0.29,0.29, 12.5, 12.5, 2, 2, 1, 125, 0, 1, 0, 10, 91.53
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2825, 0.2825, 0.2825,0.2825, 12.5, 12.5, 2, 2, 1, 125, 0, 1, 0, 11, 90.7
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.275, 0.275, 0.275,0.275, 12.5, 12.5, 2, 2, 1, 125, 0, 1, 0, 12, 91.75
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.2675, 0.2675, 0.2675,0.2675, 12.5, 12.5, 2, 2, 1, 125, 0, 1, 0, 13, 91.29
SGD, 1, -1, 1, -1, 128, 128, 128, 128, 0.26, 0.26, 0.26,0.26, 12.5, 12.5, 2, 2, 1, 125, 0, 1, 0, 14, 92.52
